Topic_Year,Topic_num,Sum_Citation,Five_Year_Percent,Three_Year_Percent,Sum_SJR,Avg_SJR,Year,Topic,Growth_Rate,Citation_Growth_Rate,Year_Sum,Topic_Percent_By_Year,Percent_By_Year_Growth_Rate
6_2004,33.0,2255.0,0.2958579881656805,0.3875968992248062,36.947,0.7389399999999999,2004,6,-0.28260869565217395,0.3256907701352145,830.0,0.03975903614457831,-0.38200628601361963
6_2005,50.0,2917.0,0.3045267489711934,0.4713375796178344,72.15599999999998,0.9750810810810808,2005,6,0.5151515151515151,0.2935698447893569,974.0,0.0513347022587269,0.2911455416588886
6_2006,74.0,8189.0,0.2481481481481481,0.3507853403141361,53.839,0.8035671641791045,2006,6,0.48,1.8073363044223516,1326.0,0.05580693815987934,0.08711915535444947
6_2007,67.0,2567.0,0.2679738562091503,0.36771300448430494,90.804,1.107365853658537,2007,6,-0.09459459459459463,-0.6865307119306386,1145.0,0.05851528384279476,0.04853062669656549
6_2008,82.0,2832.0,0.24376731301939056,0.3713080168776372,63.581,0.7225113636363636,2008,6,0.22388059701492535,0.10323334631865988,1673.0,0.049013747758517634,-0.16237699726115384
6_2009,88.0,3863.0,0.21065989847715733,0.32806324110671936,124.42600000000002,1.4991084337349398,2009,6,0.07317073170731714,0.3640536723163841,1850.0,0.04756756756756757,-0.02950560316413975
6_2010,83.0,2544.0,0.21375921375921372,0.3372093023255814,120.40899999999998,1.3840114942528734,2010,6,-0.05681818181818177,-0.34144447320735183,2022.0,0.0410484668644906,-0.13704927614423168
6_2011,87.0,2072.0,0.24107142857142855,0.3884892086330936,148.21999999999997,1.3724074074074069,2011,6,0.04819277108433728,-0.1855345911949685,2397.0,0.03629536921151439,-0.11579233077491446
6_2012,108.0,1551.0,0.2294736842105263,0.3585526315789473,118.97399999999998,1.091504587155963,2012,6,0.24137931034482762,-0.2514478764478765,2522.0,0.04282315622521808,0.17985178703273275
6_2013,109.0,1840.0,0.2053388090349076,0.3154574132492113,98.863,0.98863,2013,6,0.0092592592592593,0.18633139909735652,2827.0,0.03855677396533427,-0.09962792647617558
6_2014,100.0,2008.0,0.25735294117647056,0.4011461318051576,144.42599999999996,1.0316142857142854,2014,6,-0.08256880733944949,0.09130434782608687,3155.0,0.03169572107765452,-0.17794675700431806
6_2015,140.0,1503.0,0.22146507666098808,0.35135135135135137,224.72400000000007,1.7286461538461546,2015,6,0.3999999999999999,-0.25149402390438247,3537.0,0.03958156629912355,0.24879841673734804
6_2016,130.0,1890.0,0.2444794952681388,0.3647058823529412,238.18300000000008,1.5366645161290329,2016,6,-0.0714285714285714,0.2574850299401197,3669.0,0.035431997819569364,-0.1048358836584512
6_2017,155.0,742.0,0.2268041237113402,0.3507972665148064,228.44600000000008,1.4834155844155852,2017,6,0.1923076923076923,-0.6074074074074074,3938.0,0.0393600812595226,0.11086260108606494
6_2018,154.0,230.0,0.2079343365253078,0.3297180043383948,0.0,0.0,2018,6,-0.006451612903225823,-0.6900269541778976,4194.0,0.03671912255603243,-0.06709738951189881
7_2002,42.0,6414.0,0.3618421052631579,0.5670103092783505,55.73,1.013272727272727,2002,7,,,587.0,0.07155025553662692,
7_2003,55.0,9405.0,0.3434343434343434,0.4121212121212121,73.56099999999998,1.0817794117647055,2003,7,0.30952380952380953,0.4663236669784845,715.0,0.07692307692307693,0.07509157509157505
7_2004,68.0,8872.0,0.3796992481203008,0.4508928571428572,72.87299999999998,0.7215148514851484,2004,7,0.23636363636363633,-0.05667198298777243,830.0,0.0819277108433735,0.06506024096385543
7_2005,101.0,19658.0,0.3316582914572864,0.4385382059800664,128.13000000000002,0.9706818181818184,2005,7,0.4852941176470589,1.2157348963029757,974.0,0.10369609856262833,0.265702379514434
7_2006,132.0,7315.0,0.22776572668112804,0.3106508875739645,89.20900000000002,0.8496095238095239,2006,7,0.306930693069307,-0.6278868653983112,1326.0,0.09954751131221719,-0.04000716813762828
7_2007,105.0,13932.0,0.31186440677966104,0.4370546318289785,226.16600000000008,1.2291630434782614,2007,7,-0.20454545454545459,0.9045796308954204,1145.0,0.09170305676855896,-0.07880111155220315
7_2008,184.0,12795.0,0.2897959183673469,0.4243027888446215,248.23999999999995,1.1654460093896712,2008,7,0.7523809523809524,-0.08161068044788977,1673.0,0.10998206814106395,0.1993282668716021
7_2009,213.0,13431.0,0.2505910165484633,0.3481116584564861,254.14000000000007,1.1987735849056609,2009,7,0.15760869565217384,0.04970691676436112,1850.0,0.11513513513513514,0.0468537015276147
7_2010,212.0,14754.0,0.2780586450960566,0.3928571428571429,346.08300000000014,1.2584836363636367,2010,7,-0.0046948356807511304,0.09850346213982575,2022.0,0.10484668644906034,-0.08935976558327874
7_2011,275.0,16266.0,0.2818846466287571,0.4160671462829736,449.25400000000053,1.2946801152737766,2011,7,0.2971698113207548,0.10248068320455461,2397.0,0.114726741760534,0.09423335773490438
7_2012,347.0,12897.0,0.25427350427350426,0.3646578140960163,562.4519999999999,1.5754957983193272,2012,7,0.2618181818181817,-0.20711914422722244,2522.0,0.13758921490880255,0.1992776295869081
