Topic_Year,Topic_num,Sum_Citation,Five_Year_Percent,Three_Year_Percent
12_2004,29.0,2173.0,0.3643410852713178,0.47474747474747475
12_2005,47.0,3171.0,0.328125,0.45323741007194246
12_2006,63.0,5115.0,0.3076923076923077,0.3956043956043956
12_2007,72.0,6435.0,0.2773972602739726,0.375
12_2008,81.0,8436.0,0.30606860158311344,0.4312267657992565
12_2009,116.0,7180.0,0.2951167728237792,0.41369047619047616
12_2010,139.0,7086.0,0.25,0.34782608695652173
12_2011,136.0,6239.0,0.24600638977635783,0.358974358974359
12_2012,154.0,5797.0,0.24410540915395285,0.3776824034334764
12_2013,176.0,8337.0,0.2657766990291262,0.3989071038251366
12_2014,219.0,6819.0,0.26502145922746784,0.3847352024922118
12_2015,247.0,6956.0,0.2880143112701252,0.4086294416243655
12_2016,322.0,4277.0,0.25038880248833595,0.3613916947250281
12_2017,322.0,2450.0,0.23183391003460208,0.3421859039836568
12_2018,335.0,627.0,0.20078226857887874,0.31917098445595854
13_2002,35.0,7351.0,0.4046242774566474,0.6666666666666666
13_2003,70.0,5538.0,0.33031674208144796,0.4101123595505618
13_2004,73.0,4882.0,0.31007751937984496,0.35874439461883406
13_2005,80.0,5058.0,0.3008130081300813,0.42045454545454547
13_2006,111.0,4194.0,0.22505800464037123,0.3368055555555556
13_2007,97.0,9016.0,0.27364185110663986,0.3953488372093023
13_2008,136.0,9317.0,0.31280388978930307,0.45305164319248825
13_2009,193.0,9290.0,0.2673942701227831,0.37333333333333335
13_2010,196.0,11335.0,0.2825836216839677,0.3864353312302839
13_2011,245.0,8327.0,0.2509727626459144,0.36909871244635195
13_2012,258.0,9538.0,0.2440677966101695,0.3640960809102402
13_2013,288.0,6534.0,0.2179080824088748,0.33495736906211937
13_2014,275.0,6911.0,0.2576601671309192,0.3965702036441586
13_2015,370.0,6872.0,0.23161290322580644,0.35756972111553786
13_2016,359.0,4145.0,0.2034525277435265,0.311614730878187
13_2017,330.0,3062.0,0.22486926205694363,0.3596654275092937
13_2018,387.0,575.0,0.21753246753246752,0.35924932975871315
14_2002,15.0,1135.0,0.2777777777777778,0.5714285714285714
14_2003,20.0,2730.0,0.32142857142857145,0.43548387096774194
14_2004,27.0,1623.0,0.32608695652173914,0.38961038961038963
14_2005,30.0,1673.0,0.30303030303030304,0.41237113402061853
14_2006,40.0,1186.0,0.176056338028169,0.2631578947368421
14_2007,25.0,1337.0,0.22784810126582278,0.3564356435643564
14_2008,36.0,2393.0,0.24277456647398843,0.4077669902912621
14_2009,42.0,1432.0,0.3125,0.45454545454545453
14_2010,65.0,3219.0,0.2911392405063291,0.39204545454545453
14_2011,69.0,3586.0,0.2535211267605634,0.34951456310679613
14_2012,72.0,1832.0,0.20766773162939298,0.3155339805825243
14_2013,65.0,1770.0,0.23011363636363635,0.37155963302752293
14_2014,81.0,1434.0,0.2641025641025641,0.41365461847389556
14_2015,103.0,1333.0,0.23205741626794257,0.34519572953736655
14_2016,97.0,1013.0,0.2412280701754386,0.3548387096774194
14_2017,110.0,831.0,0.25665399239543724,0.39473684210526316
14_2018,135.0,186.0,0.23275862068965517,0.35526315789473684
